Game ID,Word,Difficulty
97c795bb-a181-485a-b19a-fb2f5474107b,photosensitize,7
b2da15b6-b5ae-4cdd-b63a-2b93616da536,chantership,6
33fcb553-d62f-42f2-96c7-9c67094325d2,unhandcuff,4
e78830d5-98b2-4678-822f-d122c79fd8ed,misrecital,4
7cba5186-e1d8-49fc-b61f-c6183271da96,defy,4
56adcab2-9136-4a82-b850-c44ae6fe7c76,plagiotropous,8
1191c379-57b2-476b-94f5-3a6a2a762834,hinderlings,6
44986ba7-0a4b-43be-b790-c382720bae36,unvoted,4
cf16cfe7-2db7-4be4-a797-2567a4222cea,bellpull,5
a1a2a6a4-af34-402c-a603-489ca3e2d07e,balancement,3
a24030aa-f484-4450-8904-a84e4a5da1c1,amphibium,6
3cafc9d8-1af5-4061-bcab-febdec040bea,granza,8
ad7a6dd4-bf37-41ef-8b8a-24359dbe3f89,grobian,8
71abf336-90dd-4628-b8b8-c46abb627565,chairless,4
45375115-9ee5-4229-9695-63639870784d,tripara,6
f6076eb9-770b-4da7-a261-b3b4ca9310f0,eptatretidae,7
8ff7b27d-ca14-4a1c-a995-c3af5a84bdae,accresce,6
bf3e7c24-ed31-49eb-8f24-5883e6c34fb6,seugh,5
f7914121-b32c-4354-80df-9cb5a56399a4,sumatra,6
98cfb653-f3c2-499b-b10d-eb9cd1a6ac20,tailorman,3
4f5d7c5a-9367-436f-9eac-39ea3b61638a,propyne,5
a2d213c8-317a-4495-b814-cd4331fed5c0,hypsometry,7
12489083-dfcc-4fca-8193-02ea14505110,precook,2
51f7ec4b-2e76-4425-9ae7-53709be5a01f,sleet,2
eb7d1d69-3e3a-415b-8f23-886277608c0c,nonextraditable,6
0e4e5e15-32e9-46eb-a2a7-e100a5f5b932,anaplasma,4
ea555a69-e8a0-44f4-ad1a-6747cb2c7ce5,stocktaker,4
c574c824-844e-4fe4-8863-d0ebe9f22914,overbusiness,3
8677672c-19e9-49d7-8ff9-3f873722a2a3,cirriferous,5
600d4efd-8d12-4266-97ee-4c71c8baff68,unconfining,3
55b98f2c-3427-4bff-a527-4cf3ee1f7d00,wharf,4
0f304c11-0f6c-46d3-bcfe-fd0a1001b6dc,blading,3
1d4318b6-9932-4aea-a0ff-24f696759ceb,swap,3
23b34307-6355-4fe2-9a5d-345d18cd41aa,alida,6
eac91721-ba3e-4910-bbc1-eb8da5bd022e,andoke,7
c2d2e456-ca4e-461f-94a1-ccb8fc741d0b,iodization,7
11fffc2b-0125-4827-94c4-4171ac22d718,rectoplasty,6
33b06f44-03e0-4f31-85b7-d3bf73804513,gompholobium,8
05063aed-04ba-4204-8480-619bb0a0a20d,bootied,6
2a89a589-344d-430e-9aa8-d74e0feaf185,deduct,4
00201d12-5686-4605-85f9-a81c491a45f2,asperugo,7
337ab96e-46b4-43a2-bc9d-55c28a0676b9,hyposulphite,7
c2498ff4-d9f7-4cda-b7c5-f80da5569e2a,retrovision,4
31492f50-1e0c-46d9-a3a2-fd2db7ba609a,peristyle,6
810ce414-1bb5-41b2-854a-343c8bc84360,unqueening,7
0b4d0c9b-9376-47d4-8b38-a2b85d5fd3fc,unwomanish,8
35bb17da-65f2-42b7-ad40-228cf7992f0e,replevin,6
e52e4263-b81b-4869-91cd-ff489ef91a84,prosopite,7
b5391101-b810-42f2-8a29-63de41704650,cavalryman,6
44f580f9-5a92-4b84-b765-f0c1e96490db,syngamous,8
b5e843c6-d291-4eaf-95dd-923cca90024b,eogaean,8
b61450b6-b9ae-411e-9150-40dc73b62229,slag,3
46ce8dcd-d2c2-4d30-bd2f-9c228b75592f,quarrelingly,9
a824b127-5166-42e5-94be-005a542e44d1,iciness,2
2a705e1e-b930-4ad0-9989-d948fb6951f0,birkenhead,3
2c45e854-cb8d-47d6-8ebf-98fb811259d1,shillingsworth,6
1519d6da-4151-4118-8774-6d745bbf0578,hawkbit,7
a581d82e-bc47-4683-91de-1db97906f798,communalism,6
1f1a5139-fc02-4a70-9442-19e6ccf3fbb4,cardsharp,5
0eb3b706-2034-40a9-988b-1ff7a864add2,symbiotically,5
0d584ab9-dd42-45a9-ae20-da24214f1b3a,arsonate,4
e010b3a1-974d-41ae-b9de-5873c2c827b9,vapid,5
888fdfe9-4cae-45c5-a6d8-87028f821849,transmission,3
42408657-b600-4012-ad9f-2f73a35b45cd,perianthium,7
87c51d2b-91e0-4a27-9121-4fd566d2f525,geotherm,2
7dc69df4-69c5-4110-b573-823c942116e9,uncrook,3
6704d3c3-cefd-4ac9-b24d-39dd63166e4e,actinostomal,6
406a9803-4b6d-4c7f-a19a-b07986a45ba9,untemptibly,5
19a2983e-887d-45b1-be7d-7cb95587ac0e,hypervigilant,5
09b11b6f-6459-4dee-97b7-cb83fac5ee77,mathematical,1
df081b7c-8f48-46f0-b355-91dd9995a095,nocturn,3
c68807c0-b7b2-440a-bd63-c6b7929323fb,alethoscope,5
32ab32ad-2e9a-44ae-8a90-b1149deed160,callet,4
e394b7cf-5f87-46d0-a47b-728480a135bb,graining,3
6bce8892-255c-4707-92a9-77f81e9e1b2a,sibylline,6
bc7dd9fd-60c1-4b2f-98e4-7736424ca157,girlishly,5
dca14cb9-ab56-4c1d-90f3-28dbd291fbe4,sargonic,7
b4bd917e-1247-4018-af23-e325e56e0b4b,toby,4
f1eb2051-5804-4645-b652-fa537bbf94bc,incoherently,4
b84717c4-c482-4262-9223-4bc28273b37e,grammatist,5
a1adace8-00cf-46bc-981f-176f475ec6cf,paintless,2
ee6beeee-bc09-4ec4-b712-b39e3123353b,augitite,4
f5452c67-f671-47fb-b58b-1cb650cb7f37,madonnaish,7
24fb7b4b-515a-4a63-acc9-f46d71a4e0e7,nonpersonification,6
8cfc2373-5f65-4055-b29c-9fd79ae8ac84,nonsensible,4
27b6d730-ea41-46ac-8afa-7a6773a36400,hudsonite,6
9d79d132-1f00-440b-887c-6845df476a9a,systematization,7
f3f83e10-2304-42c9-9e6d-4fff9f56d445,artificialness,6
74b1fa84-7f51-40fb-9348-3f1eee0b1178,hardhandedness,4
0066ffd6-362e-4a9c-b5c5-a851a2f54ca6,surprisingly,5
e0c94346-ab80-47bf-9dcb-09795e9f19ca,sarbican,6
38087646-9158-48bc-a825-adc0565065b7,munnopsidae,7
956ce8a7-611c-43e5-a952-7a7958b97865,coppering,5
c947980d-2985-4e3d-b7a8-923b8d85754a,sanatory,4
2740a9f2-fc2b-40cd-8dd7-3a7c9b88c796,uprightish,6
b831b8d7-caab-4488-8ce1-38d29857bd40,berth,3
71990949-7287-475b-9f9a-7c27f3a40276,freed,1
50e7495b-f251-421e-b96a-6edb11f2556f,ozonometry,8
cdb2c129-d982-42e7-8b66-754375d9189f,supereminent,6
40f2476f-46f4-40cf-a196-2ef8490c7b13,spatterdock,5
de300532-8b2d-4be2-ab4a-0a104d633491,suppletive,4
424c30b1-a213-4367-a341-d92f71ed68d1,allegory,4
1deb3850-2eca-4763-baa1-a92f9d5b3175,vassalic,4
fe16683c-8e5c-44b5-ba30-9791c804b8a7,guldengroschen,9
5e931401-58c2-4028-b2f9-0a01ab578f19,sagittaria,7
50a7c243-d2c9-4a2c-92da-3fa96ae2f249,geisha,4
cce10549-6df8-474a-9d06-20265f0903d9,valhall,3
50bd4420-d053-4581-aaa1-00b9117c94a7,presbyteress,5
28e442c3-dbad-4dec-bf44-cb8313127329,sower,2
f27aadfc-7561-404b-bc93-ad7224b33fa4,teleodont,3
e4ae716b-dcdf-48de-8185-7c82cfffa35c,unbenetted,3
e94bb586-d3b3-462b-bc4f-61e218caa622,dipsacaceous,5
bcdd1de8-dd54-46a3-bab4-fc45a75b33e9,anglogaea,5
68798332-9e1b-4045-b881-a5e785fa3694,vernalize,6
9fbeec66-bcdf-46a9-9cc6-23d9604360a9,pickwork,5
480e6f7c-6d56-485f-8a12-7b852bdede20,oversleep,2
8ae69190-74e4-4d47-9ef5-510c0c333c05,unvatted,3
0f42f20f-790d-4575-a2a0-6c3b6b402f55,moroxite,5
7e9206ca-7c9b-4c16-9e1f-5165f18c9917,barbitone,6
2d8f385d-80e9-4a66-9c60-6f1aff750b2e,paraguay,4
71671234-7c5d-4b34-8258-c3feb0b6fc10,subbromide,6
6dd31fdb-1995-487f-9ffd-2bfeaca6d3b4,recumbently,7
0c26a99a-ebb4-43eb-9788-2cdc7c02f077,storable,2
696d358b-ac0b-4ea5-b1c6-7ff98edf8a50,pipecoline,5
af753e86-9c21-4d55-bf9a-44b6fd8f24f1,octavina,7
82e40497-4aeb-4e0f-a8bf-02ca21ef0e57,vulva,6
944c1211-584e-4df8-94fd-31590455d62c,calyx,8
b5c5a345-d01e-410c-8fa3-ab05bfc280d4,onset,3
a8bdcb17-fc22-44e6-99ee-e73d4f107973,beneficiate,3
d7813c50-8772-4e98-8c15-e0d0e90966c8,yangtao,8
2e0d7dec-de2e-40e9-b277-b6b691583e4f,phyllomorphosis,9
99b03bd2-ec2d-4d49-9712-8bf0730f9e0e,collotypy,7
6880b91b-40b5-442b-b1d0-9dc4f72d4822,sesquitertian,8
c16617ab-e674-40ff-9585-72f11ed4cb6c,amoyese,7
aad08b9a-bb57-4b53-a7fb-8670f9741e6b,myoxine,8
cf9dd470-2d75-4f16-8fed-935d814be514,perisplenic,7
9b771b0f-2094-4d06-886d-98615cc4e085,subcontinuous,7
09ffbfbc-f1c0-42ad-99b2-6d1faa7a9673,girouettism,6
9b28bea6-8243-4636-8a71-acb45583b980,paraplasm,6
ca8b3457-fa38-4ad2-9862-9416705c007e,scyllarian,8
d4d21d12-6e01-46dc-8037-ca7c312eb72a,sizing,5
b66fd608-b0e7-404a-85bb-c92a75b84037,nonputrescible,7
a1187372-b518-4706-8453-99d7d67c8ad8,karo,6
3d37e260-0b4b-473a-816f-cf8cf847c49c,kissable,6
c67f9ef4-9272-4fe2-b635-59f4bb620ed4,sciuridae,8
f349ba0b-2d2b-474e-9c2b-a91f1852fd26,anticardiac,6
e82b43aa-2ec1-4323-a685-d7afe516ce51,introspectional,6
1fafdb99-c367-41f0-b0d5-0f2f17a467c5,churinga,7
d828d6f4-020d-4559-8839-fcd6f2905635,cocashweed,8
7edaf8c6-61ed-43bc-8217-973f6fdabe9f,turriliticone,7
a1ac1ade-05eb-4315-9976-c625912b38e3,versipel,5
c80a6eab-ace5-4063-8d07-52528ccb6ec8,crotonic,6
4c395666-55ab-45e3-8b5d-b78c66a0188f,unwading,7
a15dba2a-2b61-47c0-8df4-0258a19a40b1,transatlantically,6
968d888d-d161-49a2-aec5-3a6043ae9e64,returnlessly,5
d1829acc-b748-4b56-8868-1e512d3cf034,undiscipline,5
dde1455f-f5d1-4fe1-9422-089cef695ef0,procreativeness,7
5b8c6879-67af-4d2e-b659-5c378983973e,sulfurization,6
a823508b-eb38-4c35-bdb3-2aac56b8d445,ana,2
f0ae74c0-45a8-4ac5-a67a-f2f16334fb48,electrophysiologist,7
866bca32-c06f-4583-a460-37f942e1bef8,strabotome,7
407689df-0240-4666-b217-b54e161b4d98,testy,5
